date,school_holiday,summer
2022/12/15,FALSE,TRUE
2022/12/16,FALSE,TRUE
2022/12/16,FALSE,TRUE
2022/12/17,FALSE,TRUE
2022/12/17,FALSE,TRUE
2022/12/18,FALSE,TRUE
2022/12/18,FALSE,TRUE
2022/12/19,FALSE,TRUE
2022/12/19,FALSE,TRUE
2022/12/20,FALSE,TRUE
2022/12/20,FALSE,TRUE
2022/12/21,TRUE,TRUE
2022/12/21,TRUE,TRUE
2022/12/22,TRUE,TRUE
2022/12/22,TRUE,TRUE
2022/12/23,TRUE,TRUE
2022/12/23,TRUE,TRUE
2022/12/24,TRUE,TRUE
2022/12/24,TRUE,TRUE
2022/12/25,TRUE,TRUE
2022/12/25,TRUE,TRUE
2022/12/26,TRUE,TRUE
2022/12/26,TRUE,TRUE
2022/12/27,TRUE,TRUE
2022/12/27,TRUE,TRUE
2022/12/28,TRUE,TRUE
2022/12/28,TRUE,TRUE
2022/12/29,TRUE,TRUE
2022/12/29,TRUE,TRUE
2022/12/30,TRUE,TRUE
2022/12/30,TRUE,TRUE
2022/12/31,TRUE,TRUE
2022/12/31,TRUE,TRUE
2023/1/1,TRUE,TRUE
2023/1/1,TRUE,TRUE
2023/1/2,TRUE,TRUE
2023/1/2,TRUE,TRUE
2023/1/3,TRUE,TRUE
2023/1/3,TRUE,TRUE
2023/1/4,TRUE,TRUE
2023/1/4,TRUE,TRUE
2023/1/5,TRUE,TRUE
2023/1/5,TRUE,TRUE
2023/1/6,TRUE,TRUE
2023/1/6,TRUE,TRUE
2023/1/7,TRUE,TRUE
2023/1/7,TRUE,TRUE
2023/1/8,TRUE,TRUE
2023/1/8,TRUE,TRUE
2023/1/9,TRUE,TRUE
2023/1/9,TRUE,TRUE
2023/1/10,TRUE,TRUE
2023/1/10,TRUE,TRUE
2023/1/11,TRUE,TRUE
2023/1/11,TRUE,TRUE
2023/1/12,TRUE,TRUE
2023/1/12,TRUE,TRUE
2023/1/13,TRUE,TRUE
2023/1/13,TRUE,TRUE
2023/1/14,TRUE,TRUE
2023/1/14,TRUE,TRUE
2023/1/15,TRUE,TRUE
2023/1/15,TRUE,TRUE
2023/1/16,TRUE,TRUE
2023/1/16,TRUE,TRUE
2023/1/17,TRUE,TRUE
2023/1/17,TRUE,TRUE
2023/1/18,TRUE,TRUE
2023/1/18,TRUE,TRUE
2023/1/19,TRUE,TRUE
2023/1/19,TRUE,TRUE
2023/1/20,TRUE,TRUE
2023/1/20,TRUE,TRUE
2023/1/21,TRUE,TRUE
2023/1/21,TRUE,TRUE
2023/1/22,TRUE,TRUE
2023/1/22,TRUE,TRUE
2023/1/23,TRUE,TRUE
2023/1/23,TRUE,TRUE
2023/1/24,TRUE,TRUE
2023/1/24,TRUE,TRUE
2023/1/25,TRUE,TRUE
2023/1/25,TRUE,TRUE
2023/1/26,TRUE,TRUE
2023/1/26,TRUE,TRUE
2023/1/27,TRUE,TRUE
2023/1/27,TRUE,TRUE
2023/1/28,TRUE,TRUE
2023/1/28,TRUE,TRUE
2023/1/29,TRUE,TRUE
2023/1/29,TRUE,TRUE
2023/1/30,FALSE,TRUE
2023/1/30,FALSE,TRUE
2023/1/31,FALSE,TRUE
2023/1/31,FALSE,TRUE
2023/2/1,FALSE,TRUE
2023/2/1,FALSE,TRUE
2023/2/2,FALSE,TRUE
2023/2/2,FALSE,TRUE
2023/2/3,FALSE,TRUE
2023/2/3,FALSE,TRUE
2023/2/4,FALSE,TRUE
2023/2/4,FALSE,TRUE
2023/2/5,FALSE,TRUE
2023/2/5,FALSE,TRUE
2023/2/6,FALSE,TRUE
2023/2/6,FALSE,TRUE
2023/2/7,FALSE,TRUE
2023/2/7,FALSE,TRUE
2023/2/8,FALSE,TRUE
2023/2/8,FALSE,TRUE
2023/2/9,FALSE,TRUE
2023/2/9,FALSE,TRUE
2023/2/10,FALSE,TRUE
2023/2/10,FALSE,TRUE
2023/2/11,FALSE,TRUE
2023/2/11,FALSE,TRUE
2023/2/12,FALSE,TRUE
2023/2/12,FALSE,TRUE
2023/2/13,FALSE,TRUE
2023/2/13,FALSE,TRUE
2023/2/14,FALSE,TRUE
2023/2/14,FALSE,TRUE
2023/2/15,FALSE,TRUE
2023/2/15,FALSE,TRUE
2023/2/16,FALSE,TRUE
2023/2/16,FALSE,TRUE
2023/2/17,FALSE,TRUE
2023/2/17,FALSE,TRUE
2023/2/18,FALSE,TRUE
2023/2/18,FALSE,TRUE
2023/2/19,FALSE,TRUE
2023/2/19,FALSE,TRUE
2023/2/20,FALSE,TRUE
2023/2/20,FALSE,TRUE
2023/2/21,FALSE,TRUE
2023/2/21,FALSE,TRUE
2023/2/22,FALSE,TRUE
2023/2/22,FALSE,TRUE
2023/2/23,FALSE,TRUE
2023/2/23,FALSE,TRUE
2023/2/24,FALSE,TRUE
2023/2/24,FALSE,TRUE
2023/2/25,FALSE,TRUE
2023/2/25,FALSE,TRUE
2023/2/26,FALSE,TRUE
2023/2/26,FALSE,TRUE
2023/2/27,FALSE,TRUE
2023/2/27,FALSE,TRUE
2023/2/28,FALSE,TRUE
2023/2/28,FALSE,TRUE
2023/3/1,FALSE,FALSE
2023/3/1,FALSE,FALSE
2023/3/2,FALSE,FALSE
2023/3/2,FALSE,FALSE
2023/3/3,FALSE,FALSE
2023/3/3,FALSE,FALSE
2023/3/4,FALSE,FALSE
2023/3/4,FALSE,FALSE
2023/3/5,FALSE,FALSE
2023/3/5,FALSE,FALSE
2023/3/6,FALSE,FALSE
2023/3/6,FALSE,FALSE
2023/3/7,FALSE,FALSE
2023/3/7,FALSE,FALSE
2023/3/8,FALSE,FALSE
2023/3/8,FALSE,FALSE
2023/3/9,FALSE,FALSE
2023/3/9,FALSE,FALSE
2023/3/10,FALSE,FALSE
2023/3/10,FALSE,FALSE
2023/3/11,FALSE,FALSE
2023/3/11,FALSE,FALSE
2023/3/12,FALSE,FALSE
2023/3/12,FALSE,FALSE
2023/3/13,FALSE,FALSE
