ds,y
2022-09-13,547.5252008765517
2022-09-14,536.4122448979597
2022-09-15,536.1993197278916
2022-09-16,572.1727891156455
2022-09-17,575.7360544217681
2022-09-18,552.3625850340131
2022-09-19,549.905442176871
2022-09-20,549.9748299319729
2022-09-21,555.5224489795926
2022-09-22,571.2421768707471
2022-09-23,599.4088435374157
2022-09-24,602.7721088435369
2022-09-25,567.1591836734696
2022-09-26,556.6489795918377
2022-09-27,554.6360544217695
2022-09-28,555.5931972789119
2022-09-29,559.463265306122
2022-09-30,585.6993197278919
2022-10-01,589.3680272108851
2022-10-02,560.3537414965991
2022-10-03,551.3537414965989
2022-10-04,549.4646258503393
2022-10-05,549.6585034013596
2022-10-06,550.537414965986
2022-10-07,581.9870748299315
2022-10-08,583.62925170068
2022-10-09,552.5210884353748
2022-10-10,549.6585034013596
2022-10-11,549.7374149659855
2022-10-12,550.2312925170062
2022-10-13,553.0408163265301
2022-10-14,585.8156462585039
2022-10-15,588.238775510205
2022-10-16,556.7734693877557
2022-10-17,553.6578231292519
2022-10-18,551.87074829932
2022-10-19,551.965306122449
2022-10-20,553.0557823129258
2022-10-21,586.2925170068035
2022-10-22,588.0292517006791
2022-10-23,555.3333333333338
2022-10-24,552.5170068027204
2022-10-25,552.3700680272103
2022-10-26,552.4190476190472
2022-10-27,557.4006802721087
2022-10-28,616.4666666666662
2022-10-29,622.46870748299375
2022-10-30,609.1319727891147
2022-10-31,606.1020408163268
2022-11-01,594.647619047619
2022-11-02,571.014285714286
2022-11-03,567.949659863946
2022-11-04,601.4340136054419
2022-11-05,604.4224489795922
2022-11-06,570.4306122448979
2022-11-07,566.8761904761892
2022-11-08,565.6659863945583
2022-11-09,565.1503401360551
2022-11-10,565.9755102040829
2022-11-11,604.4904761904761
2022-11-12,607.9938775510196
2022-11-13,572.2734693877554
2022-11-14,567.340136054421
2022-11-15,566.9469387755111
2022-11-16,567.2469387755091
2022-11-17,569.1238095238109
2022-11-18,608.6891156462582
2022-11-19,614.895238095237
2022-11-20,581.2768707482987
2022-11-21,575.4129251700676
2022-11-22,575.7945578231285
2022-11-23,576.0612244897957
2022-11-24,579.2625850340149
2022-11-25,621.9653061224476
2022-11-26,637.6891156462582
2022-11-27,606.6578231292519
2022-11-28,606.3353741496588
2022-11-29,606.6625850340139
2022-11-30,607.0333333333338
2022-12-01,628.238095238097
2022-12-02,661.06462585034
2022-12-03,661.7149659863953
2022-12-04,629.1775510204069
2022-12-05,626.8666666666664
2022-12-06,625.9435374149651
2022-12-07,625.7183673469385
2022-12-08,624.4414965986407
2022-12-09,656.5095238095239
2022-12-10,659.342857142856
2022-12-11,626.1605442176864
2022-12-12,621.5925170068031
2022-12-13,620.87074829932
2022-12-14,621.3258503401349
2022-12-15,624.0210884353752
2022-12-16,670.6416747809152
2022-12-17,678.3349693251532
2022-12-18,667.3273006134959
2022-12-19,673.3996932515338
2022-12-20,678.816871165644
2022-12-21,691.4748466257674
2022-12-22,705.4236196319008
2022-12-23,759.9668711656451
2022-12-24,772.9395705521483
2022-12-25,770.174233128835
2022-12-26,775.6849693251513
2022-12-27,778.0435582822074
2022-12-28,780.2021472392626
2022-12-29,786.8401840490802
2022-12-30,805.1082822085897
2022-12-31,820.6674846625751
2023-01-01,802.6196319018414
2023-01-02,782.0134969325152
2023-01-03,771.3236196319001
2023-01-04,765.3512269938645
2023-01-05,760.7966257668696
2023-01-06,773.7625766871182
2023-01-07,771.7515337423308
2023-01-08,747.3788343558289
2023-01-09,740.6343558282192
2023-01-10,738.4641104294466
2023-01-11,737.6021472392653
2023-01-12,737.323926380367
2023-01-13,752.7794478527624
2023-01-14,753.9279141104306
2023-01-15,729.8319018404924
2023-01-16,716.022085889571
2023-01-17,714.2809815950926
2023-01-18,714.616871165645
2023-01-19,715.2653374233133
2023-01-20,733.2567484662577
2023-01-21,735.5303680981594
2023-01-22,716.3365030674856
2023-01-23,712.8720858895709
2023-01-24,713.0947852760743
2023-01-25,720.0806748466246
2023-01-26,725.9273006134968
2023-01-27,738.0812883435591
2023-01-28,737.9067484662565
2023-01-29,701.3441717791397
2023-01-30,675.2098159509213
2023-01-31,668.187116564416
2023-02-01,613.6883435582804
2023-02-02,613.620245398774
2023-02-03,644.7708588957067
2023-02-04,647.4015337423303
2023-02-05,609.1552147239256
2023-02-06,603.3009202453995
2023-02-07,602.4613496932524
2023-02-08,601.8825153374246
2023-02-09,603.1469325153373
2023-02-10,640.8481595092031
2023-02-11,642.9052147239256
2023-02-12,607.0392638036823
2023-02-13,598.5754601226988
2023-02-14,594.8432515337435
2023-02-15,595.0975460122685
2023-02-16,596.6757668711659
2023-02-17,634.8107361963187
2023-02-18,637.9095092024556
2023-02-19,600.9742331288329
2023-02-20,595.3260736196321
2023-02-21,595.0395705521482
2023-02-22,595.2825153374248
2023-02-23,597.3352760736211
2023-02-24,636.4852760736205
2023-02-25,639.5601226993849
2023-02-26,601.9429447852774
2023-02-27,594.292331288344
2023-02-28,593.8417177914114
2023-03-01,585.6033742331299
2023-03-02,586.7263803680983
2023-03-03,623.0966257668723
2023-03-04,626.0677914110438
2023-03-05,590.0027607361956
2023-03-06,585.9917177914117
2023-03-07,585.8438650306739
2023-03-08,586.0904907975452
2023-03-09,588.4717791411047
2023-03-10,652.7981595092002
2023-03-11,657.483128834356
2023-03-12,632.565030674849
2023-03-13,605.9751533742341
2023-03-14,586.4248466257654
2023-03-15,585.6116564417184
2023-03-16,587.0984662576691
2023-03-17,610.548341708543
2023-03-18,612.2024120603012
2023-03-19,578.4745728643219
2023-03-20,575.0617085427134
2023-03-21,574.5656281407039
2023-03-22,574.6112562814067
2023-03-23,575.6102512562812
2023-03-24,610.7354773869349
2023-03-25,613.8741708542709
2023-03-26,580.0359798994973
2023-03-27,575.1716582914573
2023-03-28,574.6962814070349
2023-03-29,575.8402010050248
2023-03-30,577.4186934673367
2023-03-31,611.7235837685821
2023-04-01,612.283848935315
2023-04-02,581.4083969465651
2023-04-03,577.8927280032137
2023-04-04,577.6098834873443
2023-04-05,583.1697468863
2023-04-06,634.5411811972689
2023-04-07,677.5152671755733
2023-04-08,680.7515066291693
2023-04-09,661.8274407392527
2023-04-10,642.5749296906397
2023-04-11,617.5140618722387
2023-04-12,598.4566090799518
2023-04-13,598.2717959019683
2023-04-14,625.130775411812
2023-04-15,627.3589795098424
2023-04-16,600.2292085174763
2023-04-17,595.5683005222991
2023-04-18,594.64262756127
2023-04-19,593.9688629971884
2023-04-20,596.4200482121336
2023-04-21,635.5910004017687
2023-04-22,638.4158296504628
2023-04-23,617.5020088388906
2023-04-24,611.9698674166326
2023-04-25,597.8593812776217
2023-04-26,579.5831659300923
2023-04-27,577.0325431900367
2023-04-28,609.3091603053432
2023-04-29,610.8027320208915
2023-04-30,577.6892326235438
2023-05-01,566.3467255926071
2023-05-02,565.9638408999597
2023-05-03,566.017276014464
2023-05-04,566.5387705905982
2023-05-05,598.4845319405382
2023-05-06,600.1741663318599
2023-05-07,568.4521896343917
2023-05-08,565.9445560466054
2023-05-09,565.7675773402968
2023-05-10,565.8027320208915
2023-05-11,566.6110887906787
2023-05-12,597.8256327842508
2023-05-13,599.0787464845322
2023-05-14,567.5206910405785
2023-05-15,564.6165126556853
2023-05-16,564.448975492165
2023-05-17,564.8915226998793
2023-05-18,565.9007633587786
2023-05-19,597.8822820409806
2023-05-20,599.2794294897557
2023-05-21,568.2507030936126
2023-05-22,565.059059863398
2023-05-23,565.1261550823627
2023-05-24,565.1699477701891
2023-05-25,567.16733627963
2023-05-26,599.2993169947764
2023-05-27,599.8453194053828
2023-05-28,568.1267577340295
2023-05-29,564.5170751305747
2023-05-30,564.4154278826843
2023-05-31,564.5685014061877
2023-06-01,564.4783045399764
2023-06-02,595.4773001205293
2023-06-03,596.7667738047411
2023-06-04,567.3151868220175
2023-06-05,564.2553234230616
2023-06-06,564.1199276817995
2023-06-07,564.5353555644841
2023-06-08,565.9764965849732
2023-06-09,623.6008437123356
2023-06-10,631.7000803535557
2023-06-11,605.4927146024704
2023-06-12,582.6822289156628
2023-06-13,562.5132530120491
2023-06-14,560.8819277108431
2023-06-15,559.417620481928
2023-06-16,589.7599397590362
2023-06-17,591.6152108433728
2023-06-18,562.8090361445779
2023-06-19,560.2471385542173
2023-06-20,560.4135542168681
2023-06-21,560.7124999999993
2023-06-22,561.7024096385541
2023-06-23,595.089006024096
2023-06-24,598.8435240963855
2023-06-25,572.8313253012046
2023-06-26,570.4316265060247
2023-06-27,570.8412650602414
2023-06-28,571.6374999999999
2023-06-29,573.0102409638547
2023-06-30,601.3960843373491
2023-07-01,602.3661144578315
2023-07-02,574.1680722891566
2023-07-03,571.1793674698802
2023-07-04,570.9322289156628
2023-07-05,571.2108433734936
2023-07-06,572.0040662650604
2023-07-07,601.2290662650602
2023-07-08,603.068975903614
2023-07-09,574.2546686746991
2023-07-10,566.3329819277112
2023-07-11,564.3040662650603
2023-07-12,564.5412650602411
2023-07-13,565.1793674698802
2023-07-14,596.8742469879523
2023-07-15,598.5137048192769
2023-07-16,568.2150602409636
2023-07-17,562.8090361445778
2023-07-18,561.9710843373492
2023-07-19,561.94563253012
2023-07-20,562.5751506024094
2023-07-21,593.7298192771086
2023-07-22,595.2030120481921
2023-07-23,565.9096385542167
2023-07-24,561.5284638554213
2023-07-25,561.1573795180715
2023-07-26,560.7784638554213
2023-07-27,561.4278614457832
2023-07-28,591.9042168674691
2023-07-29,593.5376506024087
2023-07-30,564.5487951807231
2023-07-31,561.6343373493974
2023-08-01,562.2099397590366
2023-08-02,562.1320783132526
2023-08-03,562.8884036144573
2023-08-04,593.2308734939761
2023-08-05,595.0503012048197
2023-08-06,566.2822289156634
2023-08-07,562.6841867469878
2023-08-08,562.3918674698793
2023-08-09,562.6557228915665
2023-08-10,563.8585843373485
2023-08-11,599.9754518072284
